task_ID,User Task,Visualisation Tools/Technique,How User Carries Out Task,"Task Type (network, geospatial, temporal, neither, all)",Geo_Modifier,Rule,Archetype,WHY Details,Why L1 Action,Why L2 Action,Why L3 Action,HOW Encode,HOW Manipulate (Interactive),HOW Facet (Dashboards/Multiple Views),HOW Reduce (Large datasets),Animation,Colour,Fill (Coverage),Orientation,Position,Saturation/Luminance,Shape,Size,Sound,Text,Texture,What Cat.,What Subcat.,What Subcat. Details
F1,Monitor and Identify Equipment Status Changes,Alarm List Display with priority filtering; Audio alerts system,1. Hear alarm sound 2. Check alarm list display 3. Filter by region/priority 4. Navigate to specific equipment; Scanning network for equipment with changed status attributes (open/closed state),Network,No Geo,Other,Other,Analyse-Consume-Discover: Detect anomalies/outages; Query-Identify: Determine which equipment has issues; Search-Locate: Find geographic region,Analyse,Consume,Discover,"Map - Network topology
Arrange: Network layout",,,Filter by region and priority filtering (1-8 levels),Flashing indicators,Equipment state,,,,,,,Sound alerts for alarm priority,,,Attribute-Based,On the Nodes,Finding Nodes With Specific Attribute Values
F2,Search and Match Constraints to Equipment,Constraint Dictionary with search/filter interface,1. Open constraint dictionary 2. Filter by location 3. Review list of constraints 4. Select and invoke constraint,Network,No Geo,R4,A1,Search-Lookup: Find specific constraints for equipment; Search-Browse: Explore all constraints for location,Search,Lookup,,"Table - Constraint list
Arrange: List",,,"Filter by location/equipmeny name, select and invoke",,,,,,,,,,Labels,,Topology-Based,Adjacency - Direct Connection,Finding Direct Connections
F3,Verify and Document Outages,NOS (Network Outage Scheduler),1. Request TNSP submission 2. Enter into outage scheduler 3. System publishes to website automatically,Network + Temporal,No Geo,R1,A3,Analyse-Produce-Record: Create documentation; Query-Compare: Check for conflicts; Analyse-Consume-Present: Communicate to market,Analyse,Produce,Record,"Temporal views: Long/short-term; Public interface; Table - Schedule view
Arrange: Temporal (calendar/timeline)",,Long-term (2yr) vs short-term (7day) views,,,Outage status,,,,,,,,Dates/times,,Attribute-Based,On the Nodes,Documenting Node Attributes
F4,Navigate Investigation Workflow,Multiple integrated tools,1. Check alarms first 2. Look up constraints second 3. Access SOMS third,Neither,No Geo,Other,Other,Search-Browse: Follow protocol through standard sequence; Analyse-Produce-Derive: Determine next actions from findings,Search,Browse,,"Ordered tool usage: Alarms, Constraint Dictionary, SOMS",,,,,,,,,,,,,,,Browsing,Follow Path,Procedural Sequence Through Network Tools
F5,Assess System Security,Multiple integrated tools,Teams conduct studies and build constraints,Network,No Geo,R4,A1,Analyse-Produce-Derive: Judge if outages can proceed; Query-Identify: Find security issues; Analyse-Produce-Derive: Make approve/reject decisions,Analyse,Produce,Derive,Map - Network topology; Studies and constraint analysis; Derive: Security calculations,,,,,,,,,,,,,,,Topology-Based,Connectivity,Analysing if network remains connected
F7,Execute Contingency Analysis,RTCA (Real-Time Contingency Analysis) tool,"1. Run solution button 2. System tests 3,171 contingencies 3. Review summary 4. Filter by region",Network,No Geo,R4,A1,Analyse-Consume-Discover: Find security violations; Query-Summarise: Aggregate violations by region; Query-Identify: Confirm system security status,Analyse,Consume,Discover,"Table - Violation results
Arrange: Grouped by region; Automated every 2 min; ",,,Regional filtering,,"Red=violations, yellow=warnings",,,,,,,,Violation counts,,Topology-Based ,Connectivity,Testing network robustness
F8,Navigate Network Topology,Single Line Diagram (SLD) with hierarchical navigation,1. Start at overview 2. Click substation buttons 3. Navigate to equipment level 4. Use scroll for geographic navigation,Network,No Geo,R4,A1,Search-Browse: Scan for out-of-service equipment; Search-Locate: Find specific substations; Search-Explore: Navigate between hierarchy levels,Search,Browse,,"Map - Hierarchical network
Arrange: Two-level hierarchy",Navigate: Zoom and pan to move through hierarchy,Separate into overview + detail views,,,Green for out-of-service,,,,,Substations as buttons,,,,,Topology-Based ,Accessibility - Direct/Indirect Connection,Multi-Hop Navigation
F9,Configure Study Scenarios,Study Clone interface,1. Pull in real-time data 2. Open substations 3. Open/close breakers manually 4. Save case,Network + Temporal,No Geo,R1,A3,Analyse-Produce-Annotate: Reconfigure equipment status; Analyse-Produce-Derive: Simulate tomorrow's configuration,Analyse,Produce,Annotate,"Map - Network for future time
Arrange: Network layout; Visual feedback",Direct manipulation of breakers; Select: Time point (1730 tomorrow),,,,Open/closed status,,,,,,,,,,Attribute-Based,On the Edges,Modifying Edge States
F10,Compare Real-time vs Model Data,Dual displays - SCADA vs Study with ribbon indicators,1. Check ribbon colour 2. Compare numerical values 3. Check for zero flow,Network,No Geo,R2,A2,Query-Compare: Find discrepancies; Query-Identify: Verify if equipment trips are real; Analyse-Consume-Discover: Detect modeling errors,Query,Compare,,"Map - Dual network views
Arrange: Side-by-side or toggle",,,,,"Green=MW, yellow=MVAR, light yellow=MVA; Ribbon: Blue(SCADA)/Yellow(study)",,,,,,,,Flow values,,Attribute-Based,On the Nodes and Edges,Comparing Attribute Values
F11,Track Constraint Management,Constraint sets display with colour coding,1. Filter for next day 2. Review red constraints 3. Check invoke/revoke times 4. Verify in dictionary,Network + Temporal,No Geo,R1,A3,Search-Lookup: Find specific constraints; Query-Identify: Verify correct constraints invoked; Query-Compare: Track constraint lifecycle states,Search,Lookup,,"Table - Temporal constraint list
Arrange: Time-ordered",,,Filter by date/region,,"Red=new, blue=revoking, gray=past, black=active",,,,,,,,Invoke/revoke times,,Attribute-Based,On the Edges, Managing Edge Constraints
