task_ID,paper_ID,User Task,Visualisation Tools/Technique,How User Carries Out Task,"Task Type (network, geospatial, temporal, neither, all)",Geo_Modifier,Rule,Archetype,WHY Details,Why L1 Action,Why L2 Action,Why L3 Action,HOW Encode,HOW Manipulate (Interactive),HOW Facet (Dashboards/Multiple Views),HOW Reduce (Large datasets),Animation,Colour,Fill (Coverage),Orientation,Position,Saturation/Luminance,Shape,Size,Text,Texture,What Cat.,What Subcat.
T1,abdulrahman2020,Identify Load Centers and Areas with Same Phase Angle Values,"Inverse Distance Weighting (IDW) interpolation overlaid on geographic network map, Contour lines on geographic network map","Users observe raster layers with colour-coded load density (red for highest loads, yellow for intermediate, green for low loads). The network lines and buses are visible underneath the interpolation layer. Users observe contour lines connecting points of equal phase angle values. Dense contour lines indicate steep gradients (high power flow), while sparse lines indicate gradual changes.",Geospatial + Network,Geo,Other,Other,"Identify regions with specific phase angle patterns (valleys = load, hills = generation),  ""A valley means that the point has a small value of phase angle surrounded by a neighborhood with larger phases. In other words, this point represents load demand. In contrast, a point with a high phase angle surrounded by small phases refers to the power generation area"" (Page 9)",Query,Identify,,"IDW (Inverse Distance Weighting) interpolation with colour mapping on geographic network map, Contour lines on geographic network map; Mark: Contour lines connecting equal phase angles",Navigate: Pan and zoom to explore regions,Superimpose: Contour lines over network topology,"Derive: Topographic metaphor from phase angles
Aggregate: 1-degree contour intervals",,"Different colours for contour levels, colour-coded raster layer where red indicates highest load values, green for low loads, and yellow for intermediate values.",,,Geographic coordinates,,"Line density: Closely spaced lines indicate steep gradients, Dense contour lines indicate steep gradients (high power flow), while sparse lines indicate gradual changes",,,Concentric patterns show valleys (load) or hills (generation),Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T2,abdulrahman2020,Identify Voltage Violations/Low Voltage Areas,"IDW analysis with colour gradients,  IDW interpolation with voltage magnitude data on geographic network map",Users  view interpolated surfaces showing voltage magnitude through the colour gradient from violet (low voltage) to green (normal voltage) overlaid on the network topology. Areas with violet/purple colouring indicate voltage violations at those network locations.,Geospatial + Network,Geo,Other,Other,"Identify outliers - areas violating voltage limit. ""One observation from these spatial analyses is that the voltage profile has relatively low values at the load centers as can be noticed in Fig. 5"" (Page 4); The visualisation shows voltage values like ""0.9951"" and ""0.993"" which are below nominal (Page 6)",Query,Identify,,"IDW interpolation with colour gradient (violet to green) on geographic network map, Continuous surface (IDW), Text labels at buses","Navigate: Zoom to see bus voltage labels
Select: Hover for detailed values",Superimpose: IDW surface with bus labels and network,"Aggregate: IDW interpolation between measurement points
Filter: Could highlight only violation areas",,"Sequential/diverging gradient (violet=low, green=normal)",,,Geographic coordinates,Lower voltages shown in darker violet,,,"Labels: Numerical values (e.g., ""0.9951"", ""1.0227"")",,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T3,abdulrahman2020,Derive Power Flow Direction,Phase angle IDW interpolation on geographic network map,Users analyse the phase angle distribution where negative/low values (shown in specific colours) at load centers and positive/high values at generation areas indicate power flow direction from high to low phase angle regions.,Geospatial + Network,Geo,Other,Other,"Power transfer patterns inferred from phase angle gradients. ""The results also show that the phase angles are negative or have low values at the load centers, whereas the areas with low load density have positive or high phase angles. This means that the power flow direction is from the other areas towards the load centers especially near the city of Houston in the east"" (Page 4)",Analyse,Produce,Derive,"Phase angle IDW interpolation with colour mapping on geographic network, Mark: IDW surface, Numerical labels",Navigate: Pan to follow power flow paths,Superimpose: Phase angle surface with network lines,"Derive: Flow direction from high to low angles
Compute: Gradient magnitude and direction",,"Diverging scheme (white-brown-orange-green-blue), Gradient: colour transitions show flow direction",,,Geographic coordinates,,,,Angle values,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T4,abdulrahman2020,Identify High Power Flow Areas/Stress Points,Slope analysis of phase angles overlaid on geographic network,"Users examine areas with steep gradients (shown in red/orange colours) which indicate high rates of change in phase angles, signifying stressed transmission corridors or high power flow areas.",Geospatial + Network,Geo,Other,Other,"Identify outliers - areas with abnormally steep gradients. ""Since the measurements used for generating this layer is the phase angles, a sharp decline means that there is a high power flow in the area, which can be used as an alarm for detecting an abnormal situation or stress in the system"" (Page 5)",Query,Identify,,"Slope analysis of phase angles with colour mapping on geographic network, Mark: Slope raster surface","Navigate: Pan and zoom to examine stress areas
Change: Toggle between percent and degree slope",Juxtapose: Slope view alongside phase angle view,"Derive: Slope calculation from IDW surface
Filter: Could threshold to show only high-stress areas",,"Heat scale (red/orange=high stress, green=low)",,,Geographic coordinates,Darker colours for steeper slopes,,,Value: Percent or degree slope,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T5,abdulrahman2020,Locate Oscillation Areas During Disturbances,Time-animated slider spatial visualisation with accompanying colour-coded GIS map,"Users play the time animation using the time slider to observe how oscillations (shown in red for high, blue for low) propagate through the network during dynamic events. They can pause at specific time points to examine affected areas.",All,Geo,R1,A3,"Locate geographic positions where oscillations occur. ""Using GIS, the operator can easily identify the locations of buses affected by the disturbance"" (Page 10); ""A snapshot, which is given in Fig. 9, shows the system oscillations on the map at t = 1.8 s"" (Page 10)",Search,Locate,,"colour-coded geographic network map with temporal animation, Mark: Points (generators), Gradual colours, Bar charts","Select: Time slider (specific time points)
Navigate: Playback controls
Change: Toggle between colour and bar chart views","Coordinate: Map view + time plot + attribute table
Multiform: Gradual colours vs bar charts","Filter: Time window selection
Highlight: Emphasize high-oscillation areas",Change over time (t=1-10s),Magnitude scale (black=highest deviation),,,Geographic coordinates,,,Height: Bar charts showing angle values,,,Topology-Based,Connectivity
T6,abdulrahman2020,Compare System Response (with/without PSS),Side-by-side geographic network maps with colour coding for oscillation levels,"Users visually compare two network maps simultaneously - one showing system response without Power System Stabilizers (PSS) and another with PSS, observing the reduction in red (high oscillation) areas when PSS is implemented.",All,Geo,R1,A3,"Compare differences in oscillation patterns and magnitudes between two scenarios. ""Two scenarios are considered in the study: (1) without considering power system stabilizers (PSSs) installed at the machines (2) with PSSs added to the excitation systems"" (Page 9-10); ""It can be observed that the PSSs improved the system response, and reduced the overall overshoots and oscillations"" (Page 10)",Query,Compare,,"Side-by-side geographic network maps with colour coding, Mark: Points, surfaces, time-series plots","Select: Toggle between scenarios
Navigate: Synchronized time control","Juxtapose: Side-by-side views (with/without PSS)
Superimpose: 3D view with colour coding; Line plots: Frequency deviation vs time","Align: Same time points for comparison
Difference: Could show differential view",Temporal evolution,Oscillation magnitude,,,Geographic coordinates,,,,,,Overview,Overview for Comparison/Verification
T7,abdulrahman2020,Browse Spatial Relationships,"Multiple IDW interpolation layers (voltage, phase angle, load) on geographic network",Users switch between or overlay different interpolation layers to understand spatial correlations between electrical parameters across the network geography.,Geospatial + Network,Geo,R5,A5,"Geographic context and relationships between network components. ""Without GIS and using only simulation plots, it is hard to see the spatial relationship between the plots representing different buses. Here, we can employ GIS in the control centers for a better system observability"" (Page 4)",Search,Browse,,"Multiple coordinated views with IDW interpolation on geographic network, Mark: Network elements on geographic basemap","Navigate: Pan, zoom, rotate (in 3D)
Change: Switch basemaps (topographic, satellite, street)","Layer: Multiple basemap options
Embed: Network in 3D terrain (Google Earth)",Overview+detail: Zoom for regional focus,,Network classification,,,"Real geographic coordinates, Layer depth: Network above basemap",,,,,Terrain: Elevation in 3D view,Overview,General Overview
T8,beiranvand2021,Identify bulk power flows and corridors,Sankey diagram with line thickness representing flow magnitude with vertical flow orientation,Users visually trace thick lines from top (sources) to bottom (sinks) to identify major power flows. Thicker lines indicate bulk power corridors (power flow magnitude) that can be rapidly identified visually.,Network,No Geo,R4,A1,"Discovering patterns of heavy power flow through the network. ""This allows a rapid identification of the most important bulk power exchanges that arise for a particular generation dispatch snapshot"" (page 1) - the word ""identification"" combined with finding patterns indicates discovery",Analyse,Consume,Discover,"Sankey diagram with line thickness proportional to power flow magnitude, vertical orientation (top to bottom flow), Mark: Lines for transmission branches",,,Topological simplification (removing geographic detail),,Voltage level distinction,,Flows are oriented from top (sources) to bottom (sinks),Vertical layout (top-to-bottom flow),,Line thickness proportional to power flow magnitude,,,,Topology-Based,Connectivity
T9,beiranvand2021,Identify important source/sink nodes,"Node representation with connected flow thickness, Sankey network diagram with nodes as horizontal rectangles",Users compare nodes with thick outgoing (sources) or incoming (sinks) flows. Nodes with thick outgoing flows and thin/no incoming flows are sources; nodes with thick incoming and thin outgoing flows are sinks.,Network,No Geo,R4,A1,"Discovering which nodes act as major generation or load centers. ""Fig. 1 shows node 31 is an important source node [5] for the grid which is injecting a significant amount of power into the network"" (page 3) - discovering the role of nodes in the system",Analyse,Consume,Discover,"Node position and flow thickness comparison in Sankey diagram, Mark: Rectangles/points for buses",,,Aggregation of bus details to show only major nodes,,,,,Vertical arrangement in flow hierarchy,,"Nodes with thick outgoing flows and thin/no incoming flows are sources; nodes with thick incoming and thin outgoing flows are sinks, Implicit through connected line thickness",,,Flow convergence/divergence patterns,Topology-Based,Common Connection
T10,beiranvand2021,Detect congestion bottlenecks,Line thickness and flow orientation in Sankey diagram that also shows flow concentration,"Users identify areas where multiple thick lines converge or where flow capacity appear narrow, indicating transmission constraints and potential bottlenecks in the network.",Network,No Geo,R3,A4,"Locating specific known problem areas (congestion points). ""Such heavy coherent flow, and associated congestion bottlenecks, are of interest as any interruptions in their functions can lead to serious operational vulnerabilities"" (page 1) - locating specific vulnerable points",Search,Locate,,"Sankey diagram showing flow concentration through specific paths, Mark: Lines showing transmission paths",,,Focus on heavy flow paths only,,,,,Spatial arrangement: Flow concentration visible through line bundling,,,Thickness: Indicates flow magnitude relative to capacity,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
